Country name,Regional indicator_x,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Population_2020,Population_2019,"COVID-19_deaths_per_100,000_population_in_2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018",All-cause death _count_2019,All-cause_death_count_2020,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",democ,autoc,polity,polity2,Regional indicator_y,Ladder score 2020,Standard error of ladder score 2020,upperwhisker 2020,lowerwhisker 2020,Logged GDP per capita 2020,Social support 2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020,Population_density_net_change,Change_in_ladder_score,Change_in_GDP_per_capita,Change_in_social_support,Change_in_healthy_life_expectancy,Change_in_freedom_to_make_life_choice,Change_in_generosity_2020,Change_in_perceptions_of_corruption
Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,212821986.0,0.72 %,1509890.0,25.0,8358140.0,21200.0,1.7,33,88 %,2.73 %,212559409.0,211049527.0,91.715,33.5,0.0,0.657,9.666,0.0,0.0,0.115,54.0,1312663.0,1316719.0,1349802.0,1571383.0,115.667,8.0,0.0,8.0,8.0,Latin America and Caribbean,6.375599861,0.040790688,6.455549717,6.295650005,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,0.18064904392604095,-0.04559986100000035,0.010565140000000639,-0.014723806999999978,0.12083642999999711,0.0041951930000000415,0.030812392000000008,-0.014601273000000026
Mexico,Latin America and Caribbean,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,129166028.0,1.06 %,1357224.0,66.0,1943950.0,-60000.0,2.1,29,84 %,1.65 %,128932753.0,127575529.0,97.576,29.3,0.0,0.848,9.434,0.0,0.0,0.129,47.5,701160.0,718206.0,728889.0,1045794.0,257.075,8.0,0.0,8.0,8.0,Latin America and Caribbean,6.465000153,0.048122469,6.559319973,6.370680332,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,0.6981784510918491,-0.1480001529999999,0.061202796999999975,-0.007665426000000086,0.2979735099999914,0.003290723999999967,0.02826662300000002,-0.007821584999999964
Jamaica,Latin America and Caribbean,6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.137,0.884,2.43,0.891,0.932,0.599,0.618,0.099,0.035,3.135,2963429.0,0.44 %,12888.0,273.0,10830.0,-11332.0,2.0,31,55 %,0.04 %,2961161.0,2948279.0,10.199,31.4,1.0,1.045,9.502,0.0,0.0,0.133,37.48,,,,,,9.0,0.0,9.0,9.0,Latin America and Caribbean,5.889800072,0.120590433,6.126157284,5.65344286,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028,1.190027700831025,0.4191999280000003,0.17974961900000075,-0.03870186600000003,0.4000015299999973,0.03193147399999996,-0.011893233000000003,-0.004890028000000046
Lithuania,Central and Eastern Europe,6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624,2715340.0,-1.35 %,-37338.0,43.0,62674.0,-32780.0,1.7,45,71 %,0.03 %,2722291.0,2786844.0,53.558,43.5,0.0,2.539,8.944,0.0,1.0,0.189,36.9,39990.0,39452.0,38184.0,43824.0,167.552,10.0,0.0,10.0,10.0,Central and Eastern Europe,6.215499878,0.044193108,6.302118301,6.128881454,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,-0.5957494335769219,0.03950012199999975,0.15537398000000024,0.008892891000000014,0.6119249900000057,0.02561855099999999,0.016725295999999973,0.016416156999999987
Cyprus,Western Europe,6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,1208886.0,0.73 %,8784.0,131.0,9240.0,5000.0,1.3,37,67 %,0.02 %,875899.0,1198575.0,13.586,37.3,1.0,1.908,8.968,0.0,0.0,0.174,29.1,6009.0,5798.0,6218.0,6636.0,60.513,10.0,0.0,10.0,10.0,Western Europe,6.15899992,0.050605938,6.258187771,6.059812069,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,0.9506493506493506,0.06400007999999957,0.17029740999999987,-0.0039962389999999015,0.1957752699999986,-0.016858291000000025,-0.058731496,-0.012271743999999973
Estonia,Central and Eastern Europe,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,1326693.0,0.07 %,887.0,31.0,42390.0,3911.0,1.6,42,68 %,0.02 %,1326539.0,1326590.0,17.263,42.7,0.0,2.365,8.93,0.0,1.0,0.27,30.6,15476.0,15684.0,15332.0,16206.0,53.421,9.0,0.0,9.0,9.0,Central and Eastern Europe,6.021800041,0.035985194,6.092330933,5.95126915,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,0.02092474640245341,0.1671999590000004,0.14098268000000047,0.006270006999999911,0.19504241999999294,0.03129084999999998,0.005697771000000004,-0.09607381599999998
Panama,Latin America and Caribbean,6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,4326296.0,1.61 %,68328.0,58.0,74340.0,11200.0,2.5,30,68 %,0.06 %,4314768.0,4246439.0,93.215,29.7,0.0,0.91,9.568,0.0,0.0,0.182,49.8,19482.0,19720.0,20332.0,23876.0,94.177,9.0,0.0,9.0,9.0,Latin America and Caribbean,6.304800034,0.059724931,6.421860695,6.187739372,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,0.9191283292978208,-0.12480003400000061,0.3157659499999994,-0.006094482999999928,0.04898792000000185,-0.008366504000000052,-0.012072286000000015,0.0044110950000000315
Uzbekistan,Commonwealth of Independent States,6.179,0.068,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515,2.43,0.769,1.027,0.528,0.716,0.391,0.271,2.477,33551824.0,1.48 %,487487.0,79.0,425400.0,-8863.0,2.4,28,50 %,0.43 %,33469199.0,33580650.0,1.834,28.2,0.0,1.141,8.62,0.0,0.0,0.435,39.7,160723.0,154913.0,154570.0,175637.0,56.381,0.0,9.0,-9.0,-9.0,Commonwealth of Independent States,6.257599831,0.05422755,6.36388588,6.151313782,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,1.1459496944052656,-0.07859983100000001,0.095628296000001,-0.008595806999999955,0.1474255400000004,-0.004998115999999997,0.06257284699999999,0.013502612000000025
Chile,Latin America and Caribbean,6.172,0.046,6.262,6.081,10.071,0.882,70.0,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,19144605.0,0.87 %,164163.0,26.0,743532.0,111708.0,1.7,35,85 %,0.25 %,19116209.0,18952038.0,86.879,35.4,0.0,0.562,9.722,0.0,0.0,0.097,45.92,106045.0,106458.0,109079.0,127387.0,106.088,10.0,0.0,10.0,10.0,Latin America and Caribbean,6.228499889,0.045723889,6.318118572,6.138881207,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,0.22078807637062023,-0.05649988900000036,0.0389450999999994,0.0022864049999999914,0.09938049000000149,-0.0028962930000000497,0.021668367000000008,-0.00823943100000002
Poland,Central and Eastern Europe,6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,1.309,0.982,0.668,0.558,0.08,0.13,2.438,37839255.0,-0.11 %,-41157.0,124.0,306230.0,-29395.0,1.4,42,60 %,0.49 %,37846605.0,37970874.0,75.447,41.8,0.0,3.199,8.978,0.0,0.0,0.304,27.8,402533.0,411312.0,407624.0,485441.0,206.508,10.0,0.0,10.0,10.0,Central and Eastern Europe,6.186299801,0.035500165,6.255880356,6.116719246,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,-0.13439898115795318,-0.020299800999999285,0.1168756799999997,0.023742555,0.3908656600000029,-0.021055778999999997,0.040084071,0.04807297899999996
Kazakhstan,Commonwealth of Independent States,6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,18815231.0,1.21 %,225280.0,7.0,2699700.0,-18000.0,2.8,31,58 %,0.24 %,18776707.0,18513930.0,14.704,30.6,0.0,1.137,8.621,0.0,0.0,0.352,27.45,74381.0,130515.0,133489.0,162613.0,267.188,0.0,6.0,-6.0,-6.0,Commonwealth of Independent States,6.057899952,0.043229785,6.1426301,5.973169804,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,0.08344630884913139,0.09410004800000049,0.0403416399999994,0.017255104999999937,0.5900375399999973,0.04139806299999993,-0.0005113649999999997,-0.031490843000000046
Romania,Central and Eastern Europe,6.14,0.057,6.253,6.027,10.284,0.832,67.355,0.845,-0.219,0.938,2.43,1.275,0.832,0.595,0.564,0.045,0.001,2.83,19214608.0,-0.66 %,-126866.0,84.0,230170.0,-73999.0,1.6,43,55 %,0.25 %,19237682.0,19356544.0,81.959,43.0,0.0,2.517,8.981,0.0,0.0,0.1,35.1,,,,,,9.0,0.0,9.0,9.0,Central and Eastern Europe,6.123700142,0.047432564,6.216668129,6.030732155,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,-0.551183907546596,0.016299858,0.17641600000000146,0.006838483000000006,0.1477627600000062,0.0021767929999999547,-0.02118479000000001,0.003699755999999943
Kuwait,Middle East and North Africa,6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.104,0.736,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,4281320.0,1.51 %,63488.0,240.0,17820.0,39520.0,2.1,37,N.A.,0.05 %,4270563.0,4207083.0,21.871,33.7,0.0,1.497,8.865,0.0,0.0,0.388,36.02,,,,,,0.0,7.0,-7.0,-7.0,Middle East and North Africa,6.102099895,0.053297732,6.206563473,5.997636318,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,3.5627384960718294,0.0039001049999995985,-0.2728246799999994,-0.0034752439999999885,0.1323532100000051,-0.005366488000000058,-0.0038152989999999942,-0.024849059000000007
Serbia,Central and Eastern Europe,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,8731081.0,-0.40 %,-34864.0,100.0,87460.0,4000.0,1.5,42,56 %,0.11 %,6804596.0,6944975.0,47.189,41.2,0.0,3.134,9.015,0.0,1.0,0.221,37.8,103722.0,101655.0,102131.0,114954.0,181.116,9.0,1.0,8.0,8.0,Central and Eastern Europe,5.77820015,0.050712325,5.877596378,5.678803921,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,-0.39862794420306424,0.2997998500000003,0.1060193180000013,-0.008475746999999978,0.38979491999999993,0.05150413799999998,0.075676221,-0.008509018000000035
El Salvador,Latin America and Caribbean,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,6491923.0,0.51 %,32652.0,313.0,20720.0,-40539.0,2.1,28,73 %,0.08 %,6486201.0,6453553.0,20.459,27.6,0.0,0.863,9.508,0.0,0.0,0.239,40.5,,,,,,8.0,0.0,8.0,8.0,Latin America and Caribbean,6.34829998,0.058248438,6.462466717,6.234133244,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,1.5758687258687258,-0.28729998000000023,0.14492426300000005,-0.04409226199999994,0.2937388900000002,0.05419473699999999,0.011072977999999997,-0.06631990600000004
Mauritius,Sub-Saharan Africa,6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,1272140.0,0.17 %,2100.0,626.0,2030.0,0.0,1.4,37,41 %,0.02 %,1271767.0,1265711.0,0.786,37.4,1.0,0.624,9.084,0.0,0.0,0.411,38.47,10140.0,10787.0,11174.0,11060.0,28.348,10.0,0.0,10.0,10.0,Sub-Saharan Africa,6.101299763,0.057226494,6.213463783,5.989135742,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,1.0344827586206897,-0.05229976299999972,0.0512138439999994,-0.005357832999999923,0.2966573499999896,-0.022534532999999968,-0.035681427,-0.016343090999999976
Latvia,Central and Eastern Europe,6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536,1882408.0,-1.08 %,-20545.0,30.0,62200.0,-14837.0,1.7,44,69 %,0.02 %,1886202.0,1912789.0,33.666,43.9,0.0,2.49,8.943,0.0,0.0,0.096,35.6,28659.0,28743.0,27632.0,28989.0,33.921,8.0,0.0,8.0,8.0,Central and Eastern Europe,5.949999809,0.034838136,6.018282413,5.881717205,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089,-0.3303054662379421,0.08200019099999967,0.13968032999999913,0.008711411000000058,0.29253539999999134,0.043762352000000004,0.024888843999999993,0.004419911000000054
Colombia,Latin America and Caribbean,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,50976248.0,1.08 %,543448.0,46.0,1109500.0,204796.0,1.8,31,80 %,0.65 %,50882884.0,50339443.0,84.926,32.2,0.0,0.814,9.606,0.0,0.0,0.113,52.0,226799.0,236228.0,243648.0,301480.0,130.251,7.0,0.0,7.0,7.0,Latin America and Caribbean,6.163400173,0.056480873,6.274102688,6.052697659,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,0.4898134294727355,-0.15140017300000075,0.05663092800000058,-0.03744024300000004,0.30141504000000907,0.0008200879999999966,0.026235645000000002,-0.023571810000000082
Hungary,Central and Eastern Europe,5.992,0.047,6.085,5.899,10.358,0.943,68.0,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,9655983.0,-0.25 %,-24328.0,107.0,90530.0,6000.0,1.5,43,72 %,0.12 %,9660350.0,9769949.0,98.723,43.4,0.0,3.555,9.011,0.0,0.0,0.253,28.7,131293.0,130624.0,129266.0,142921.0,128.939,10.0,0.0,10.0,10.0,Central and Eastern Europe,6.000400066,0.039473221,6.077767372,5.923032761,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501,-0.2687285982547222,-0.008400066000000095,0.10875625999999983,0.021065871999999985,0.39002990999999554,0.036035422999999955,0.008323017999999988,-0.016916500999999973
Thailand,Southeast Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,69830779.0,0.25 %,174396.0,137.0,510890.0,19444.0,1.5,40,51 %,0.90 %,69799978.0,69625582.0,0.09,40.1,0.0,0.751,8.27,0.0,0.0,0.354,35.315,468911.0,473541.0,506211.0,501438.0,26.61,0.0,3.0,-3.0,-3.0,Southeast Asia,5.998799801,0.042596295,6.082288742,5.91531086,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,0.34135723932744816,-0.013799800999999334,0.06320827499999915,-0.001973223000000024,0.1504049099999918,-0.02106303300000001,0.01831480799999996,0.008727688999999983
Nicaragua,Latin America and Caribbean,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,6638075.0,1.21 %,79052.0,55.0,120340.0,-21272.0,2.4,26,57 %,0.08 %,6624554.0,6545502.0,2.491,27.3,0.0,0.86,9.528,0.0,0.0,0.28,46.515,,,,,,7.0,1.0,6.0,6.0,Latin America and Caribbean,6.13710022,0.063886963,6.262318611,6.011881828,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,0.6569054346019612,-0.16510021999999935,0.12683975199999864,0.0065029639999999445,0.14982073999999557,-0.027902866999999998,-0.0009591410000000002,-0.0019501189999999724
Japan,East Asia,5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,126407422.0,-0.30 %,-383840.0,347.0,364555.0,71560.0,1.4,48,92 %,1.62 %,126476458.0,126264931.0,2.603,48.2,1.0,0.863,8.39,1.0,0.0,0.317,33.9,1340567.0,1362470.0,1387775.0,1376426.0,10.146,10.0,0.0,10.0,10.0,East Asia,5.870800018,0.041391667,5.951927662,5.789672375,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,-1.052900111094348,0.06919998200000066,0.03131096999999983,0.0004540650000000035,0.09903106999999522,-0.01396137899999994,-0.011089651000000006,-0.016558062999999956
Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,45267449.0,0.93 %,415097.0,17.0,2736690.0,4800.0,2.3,32,93 %,0.58 %,45195777.0,44938712.0,95.684,31.9,0.0,0.549,9.717,0.0,0.0,0.091,39.6,,,,,,9.0,0.0,9.0,9.0,Latin America and Caribbean,5.974699974,0.053441759,6.079445839,5.869954109,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,0.1516784875159408,-0.0456999739999997,0.15104495199999945,-0.002567949000000014,0.19619751000000463,-0.003132412000000029,0.012913863999999997,-0.00800984199999999
Portugal,Western Europe,5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225,10191409.0,-0.29 %,-29478.0,111.0,91590.0,-6000.0,1.3,46,66 %,0.13 %,10196707.0,10269417.0,67.728,46.2,0.0,3.224,9.207,0.0,0.0,0.248,32.1,109283.0,112692.0,111474.0,125500.0,140.235,10.0,0.0,10.0,10.0,Western Europe,5.910900116,0.053158198,6.015089989,5.806710243,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,-0.321847363249263,0.01809988400000062,0.15725754999999886,-0.007590718999999968,0.19797667999999646,0.0032521890000000164,-0.023285698999999993,-0.005629503999999952
Honduras,Latin America and Caribbean,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,9931333.0,1.63 %,158490.0,89.0,111890.0,-6800.0,2.5,24,57 %,0.13 %,9904608.0,9588000.0,31.602,24.9,0.0,0.887,9.511,0.0,0.0,0.209,48.1,,,,,,7.0,0.0,7.0,7.0,Latin America and Caribbean,5.953199863,0.065731592,6.082033634,5.824366093,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,1.4164804718920367,-0.03419986300000044,0.22346520199999986,-0.009870147999999968,0.10123138000000154,-0.013603263000000032,-0.005969114999999997,0.007868096000000047
Croatia,Central and Eastern Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0.0,2.325,4100719.0,-0.61 %,-25037.0,73.0,55960.0,-8001.0,1.4,44,58 %,0.05 %,4105268.0,4067500.0,95.487,44.0,0.0,4.057,9.037,0.0,0.0,0.131,29.7,53269.0,52562.0,51611.0,57922.0,133.158,9.0,0.0,9.0,9.0,Central and Eastern Europe,5.504700184,0.037783645,5.578756332,5.430644035,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,-0.44740886347390996,0.37729981599999984,0.14612482999999976,0.04937628400000005,0.584095210000001,0.03916119699999998,0.010538325000000015,0.022504735999999914
Philippines,Southeast Asia,5.88,0.052,5.982,5.778,9.076,0.83,62.0,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,109830324.0,1.35 %,1464463.0,368.0,298170.0,-67152.0,2.6,26,47 %,1.41 %,109581085.0,108116615.0,8.436,25.2,1.0,0.74,8.226,1.0,0.0,0.52,42.23,,,,,,8.0,0.0,8.0,8.0,Southeast Asia,6.006000042,0.049858402,6.103722572,5.908277512,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,4.911503504712077,-0.12600004200000026,0.08245446799999989,-0.016730053000000078,0.07323836999999855,0.0015365520000000243,0.008463005999999995,0.008365885999999989
South Korea,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,51276977.0,0.09 %,43877.0,527.0,97230.0,11731.0,1.1,44,82 %,0.66 %,51269183.0,51709098.0,1.789,43.4,0.0,1.607,8.228,1.0,0.0,0.112,35.5,284548.0,298030.0,294080.0,308318.0,31.266,,,,,East Asia,5.872399807,0.044085015,5.958806515,5.785993099,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447,0.45127018409955777,-0.02739980700000011,0.14043328999999893,-0.0003871569999999158,0.2972701999999998,0.05903489300000009,-0.039595968,-0.062067447
Peru,Latin America and Caribbean,5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,33050211.0,1.42 %,461401.0,26.0,1280000.0,99069.0,2.3,31,79 %,0.42 %,32971846.0,32510453.0,114.279,29.1,0.0,0.636,9.69,0.0,0.0,0.096,43.9,98704.0,112516.0,114560.0,214503.0,323.476,9.0,0.0,9.0,9.0,Latin America and Caribbean,5.796800137,0.061311204,5.916970253,5.67663002,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,0.36046953125,0.043199862999999894,0.0016868670000000918,0.000924748999999947,0.14976500999999587,-0.002766099000000022,0.008388220000000002,-0.002714963999999931
Bosnia and Herzegovina,Central and Eastern Europe,5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,3277152.0,-0.61 %,-20181.0,64.0,51000.0,-21585.0,1.3,43,52 %,0.04 %,3280815.0,3301000.0,123.445,42.5,0.0,3.509,9.032,0.0,0.0,0.064,33.03,,,,,,,,,,Central and Eastern Europe,5.674099922,0.046385963,5.765016556,5.583183289,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,-0.3957058823529412,0.13890007799999982,0.13418277699999948,0.04079585799999996,0.2898640100000023,0.054647295999999956,0.014725441000000006,-0.002769106999999993
Moldova,Commonwealth of Independent States,5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,4032294.0,-0.23 %,-9300.0,123.0,32850.0,-1387.0,1.3,38,43 %,0.05 %,4033963.0,2657637.0,73.997,37.6,0.0,2.348,8.952,0.0,0.0,0.104,25.9,36768.0,37176.0,36794.0,40382.0,103.692,9.0,0.0,9.0,9.0,Commonwealth of Independent States,5.607500076,0.042275578,5.690360069,5.524640083,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,-0.2831050228310502,0.15849992400000001,0.6772856750000003,0.013686424999999947,0.6859842500000042,0.10039082499999996,-0.041258961000000004,0.004685717000000089
Ecuador,Latin America and Caribbean,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,17688599.0,1.55 %,269392.0,71.0,248360.0,36400.0,2.4,28,63 %,0.23 %,17643060.0,17373662.0,79.544,28.1,0.0,0.789,9.634,0.0,0.0,0.205,45.4,70049.0,71769.0,73479.0,115842.0,251.745,6.0,1.0,5.0,5.0,Latin America and Caribbean,5.925199986,0.052880634,6.028846264,5.821553707,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,1.0846835239168948,-0.16119998599999974,0.06694153599999986,-0.015418986000000023,0.29996185000000253,-0.017828948999999983,0.0030149650000000083,0.04178488800000002
Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,6542426.0,1.69 %,108345.0,34.0,191800.0,-4000.0,3.0,26,36 %,0.08 %,6524191.0,6456900.0,20.769,26.3,0.0,1.08,8.566,0.0,0.0,0.186,27.34,33166.0,32989.0,33295.0,39977.0,105.184,8.0,0.0,8.0,8.0,Commonwealth of Independent States,5.541500092,0.043677468,5.627108097,5.455892086,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084,0.5648852971845673,0.20249990800000006,0.3895949250000008,0.0057715110000000625,0.29498955999999055,0.02562510700000009,-0.035772057999999995,0.019603916
Greece,Western Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0.0,0.074,2.561,10413936.0,-0.48 %,-50401.0,81.0,128900.0,-16000.0,1.3,46,85 %,0.13 %,10423056.0,10716322.0,46.416,45.3,0.0,2.327,9.026,0.0,1.0,0.124,32.3,124069.0,119952.0,124538.0,132966.0,95.679,10.0,0.0,10.0,10.0,Western Europe,5.514999866,0.046931833,5.606986046,5.423013687,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409,-0.39100853374709077,0.20800013399999973,0.14667387000000076,0.008619651999999922,0.19474181999999018,0.04065488099999992,0.012907373,-0.036931409000000026
Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,11700207.0,1.39 %,159921.0,11.0,1083300.0,-9504.0,2.8,26,69 %,0.15 %,11673029.0,11513100.0,78.514,25.4,0.0,0.609,9.726,0.0,0.0,0.101,43.8,,,,,,7.0,0.0,7.0,7.0,Latin America and Caribbean,5.747499943,0.050645422,5.846765041,5.648234844,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,0.14762392689005815,-0.03149994300000003,0.19488477300000007,0.00689130800000004,0.30052850000000575,-0.0008733269999999793,0.01468113,0.01639379399999996
Mongolia,East Asia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,3287242.0,1.65 %,53123.0,2.0,1553560.0,-852.0,2.9,28,67 %,0.04 %,3278292.0,3225167.0,0.031,28.6,0.0,1.14,8.326,1.0,0.0,0.102,32.35,15812.0,17331.0,17205.0,15922.0,-26.468,10.0,0.0,10.0,10.0,East Asia,5.456200123,0.040313236,5.535213947,5.377186298,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,0.0341943664872937,0.22079987699999926,-0.012186622999999841,-0.0021424909999999686,0.19551468000000227,0.014648671999999974,0.017906133000000005,-0.007511205000000021
